"","RESPID","Q 1","Q 2","Q 3","Q 4","Q 5","Q 6","Q 7","Q 8","Q 9","Q 10","Q 11","Q 12","Q 13","Q 14","Q 15","Q 16","Q 17","Q 18","Q 19","Q 20","Q 21","Q 22","Q 23","Q 24","Q 25","Q 26","Q 27","Q 28","Q 29","Q 30","Q 31","Q 32","Q 33","Q 34","Q 35","Q 36","Q 37","Q 38","Q 39","Q 40","Q 41","Q 42","Q 43","Q 44","Q 45","Q 46","Q 47","Q 48","Q 49","Q 50","Q 51","Q 52","Q 53","Q 54","Q 55","Q 56","Q 57","Q 58","Q 59","Q 60","Q 61","Q 62","Q 63","Q 64","Q 65","Q 66","Q 67","Q 68","Q 69","Q 70","Q 71","Q 72","Q 73","Q 74","Q 75","Q 76","Q 77","Q 78","Q 79","Q 80","Q 81"
"2455",1896,4,3,3,4,4,4,4,3,3,3,4,3,2,3,4,3,2,4,5,4,5,4,3,4,4,2,3,4,4,1,1,4,6,2,30,3,4,5,4,2,5,3,4,2,4,100,2,16,1,5,4,84,1,4,3,4,4,3,4,4,4,4,4,4,2,4,4,3,4,3,4,4,4,4,4,4,3,4,3,0,0
"26",226124,5,1,3,4,4,5,4,4,3,4,3,2,3,4,4,2,4,4,5,4,5,5,5,4,4,3,5,5,5,1,1,4,5,7,32,1,5,4,3,4,3,3,3,4,4,110,2,14,3,1,4,39,2,5,5,5,5,5,5,5,5,5,3,4,5,5,5,3,4,5,5,5,5,3,5,5,5,5,5,1,1
"2461",14513,4,4,3,4,4,4,3,4,2,4,4,4,3,2,3,3,2,4,3,2,4,3,3,3,4,3,2,2,3,1,1,3,2,2,18,3,4,4,4,2,4,3,4,4,3,45,1,12,1,5,4,3,2,3,3,4,4,3,3,5,4,4,2,3,3,4,4,2,3,3,2,4,3,4,4,2,3,3,3,1,0
"4",5612,5,2,3,4,5,5,3,3,3,4,4,2,5,5,5,4,3,5,4,3,5,4,5,3,5,4,3,3,5,1,1,4,6,8,22,3,4,3,4,2,4,2,4,3,2,30,1,13,5,1,1,40,4,4,4,4,5,4,5,4,5,5,4,4,5,4,5,4,5,5,4,4,4,4,4,2,5,5,4,1,0
"2115",481500,5,4,4,3,2,4,4,4,2,3,4,4,2,3,2,4,2,5,4,4,5,4,3,4,4,2,3,4,4,1,1,4,3,2,18,1,4,5,4,2,3,4,5,4,5,30,2,10,1,1,1,24,5,5,5,4,4,4,5,5,5,5,5,3,4,3,4,4,5,5,4,5,5,4,4,5,4,5,4,1,1
"803",225706,4,2,2,4,4,4,4,4,3,4,2,3,3,3,3,3,3,4,4,3,4,4,3,4,4,4,2,3,4,1,1,4,5,4,18,1,3,5,5,3,5,1,4,1,4,30,1,12,6,1,1,15,5,4,4,4,5,4,4,4,5,4,4,2,4,5,4,4,4,5,4,4,4,5,5,5,5,5,5,1,1
"300",420738,4,3,5,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,5,4,3,3,3,4,4,4,5,3,4,1,5,3,6,24,4,3,4,3,2,3,4,3,4,4,90,1,12,5,1,1,15,4,5,4,3,4,4,3,4,3,3,4,4,4,5,3,3,5,3,4,3,3,4,4,3,5,4,4,0,0
"1683",483495,4,3,3,4,4,4,4,2,3,2,3,2,3,4,3,3,4,4,5,4,4,4,4,5,4,3,3,3,4,1,1,4,3,2,20,1,4,4,4,2,3,4,3,4,3,10,2,16,3,4,3,48,5,3,4,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,0,0
"760",228330,4,3,4,4,4,5,4,4,3,4,3,2,4,5,5,3,3,5,5,3,5,4,4,5,4,4,4,3,5,0,0,4,5,4,20,2,5,4,4,2,3,4,5,4,5,120,2,17,1,5,4,50,3,4,3,4,4,4,4,4,4,4,5,3,5,3,4,4,4,4,4,4,4,4,5,3,3,4,4,1,1
"1320",229614,4,4,3,4,4,4,3,4,1,4,4,3,4,4,3,2,3,4,5,4,4,5,4,4,4,4,2,4,5,1,1,5,11,3,17,1,5,3,3,2,4,3,4,4,3,20,2,16,1,2,1,14,5,4,4,3,4,3,4,5,4,4,4,4,4,4,4,4,4,4,3,4,5,4,4,3,4,5,5,1,1
"2167",229349,3,3,2,3,2,4,2,4,2,2,4,2,2,3,3,2,3,3,4,3,4,3,3,4,4,3,3,3,4,1,1,4,11,2,16,1,5,1,3,3,4,2,2,1,4,35,2,19,6,2,2,1,3,3,3,3,3,3,3,3,4,4,4,2,2,2,3,2,3,2,3,3,3,5,4,5,3,3,4,0,1
"601",3112,5,2,4,4,4,5,3,5,4,3,5,1,5,5,4,5,4,4,4,5,5,5,5,4,4,5,5,5,4,0,0,5,4,5,25,4,4,4,4,2,4,4,4,3,3,30,2,12,1,1,1,11,4,4,4,4,2,3,4,4,4,4,5,4,4,4,5,5,4,2,3,4,5,5,3,3,5,4,5,0,0
"2678",17762,2,3,3,3,3,1,2,3,3,3,3,2,2,2,3,3,3,2,2,3,2,3,2,3,3,3,3,3,2,1,1,4,2,2,20,1,4,5,3,1,3,5,4,4,4,6,2,1,1,7,1,43,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0
"630",1037,4,4,5,5,3,4,4,4,5,3,4,4,4,5,4,4,5,3,5,4,5,4,4,4,5,4,5,3,4,0,0,4,7,5,5,4,3,5,4,1,2,1,2,3,4,10,2,16,1,1,1,2,4,4,4,5,4,3,4,4,4,5,4,3,5,3,4,5,4,4,5,5,4,4,4,4,4,5,4,0,0
"949",18627,4,4,4,4,5,5,5,4,5,5,4,4,4,4,4,5,5,5,5,4,5,4,5,5,4,5,4,5,5,1,1,5,4,4,11,3,4,5,5,3,4,5,5,4,4,29,1,13,3,1,1,48,5,5,4,5,5,5,5,5,4,2,4,5,4,5,5,5,5,5,5,4,4,4,4,5,4,5,4,1,0
"2655",21684,2,2,2,2,3,3,2,3,1,3,2,3,3,4,3,2,1,2,2,3,2,2,2,2,2,2,2,3,1,1,1,5,5,2,50,3,4,5,4,2,4,3,5,3,4,40,1,12,5,1,2,6,4,5,3,3,5,3,5,4,4,4,4,3,4,5,3,4,4,4,4,3,3,4,3,4,4,4,3,0,0
"1",23822,5,1,5,5,5,5,5,3,5,4,2,1,5,5,5,4,4,5,5,4,5,5,5,5,5,5,3,4,5,1,1,4,11,6,90,2,3,3,3,3,3,4,4,4,4,100,2,19,5,1,2,28,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,0,1
"220",487022,5,2,4,5,4,4,4,4,2,5,5,5,2,1,4,3,3,4,4,2,4,4,4,5,5,5,2,4,4,0,0,4,2,6,18,3,3,5,4,3,5,2,2,2,2,40,1,16,1,1,3,23,4,5,3,4,5,4,4,4,4,3,5,2,2,2,5,2,5,4,5,4,4,4,5,4,4,4,4,1,1
"2156",231550,2,2,2,2,1,4,4,4,1,2,5,4,2,2,2,2,2,4,3,3,4,4,3,4,3,2,2,2,4,0,0,5,1,2,18,3,5,4,4,2,3,3,4,3,4,40,1,16,1,2,2,3,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,2,2,4,4,4,4,2,3,3,4,0,1
"2154",221123,4,3,1,4,4,3,1,4,1,4,5,4,2,2,3,2,3,2,2,1,3,2,3,3,1,1,1,1,5,1,1,5,2,2,17,2,3,3,4,2,3,2,2,4,2,80,1,13,1,1,1,5,5,5,3,5,4,4,5,5,5,5,4,3,3,3,5,2,5,5,5,4,5,5,5,4,3,5,4,0,1
"1450",420027,5,3,4,4,4,5,5,4,4,3,5,3,5,5,4,4,5,4,4,5,4,5,5,4,5,5,4,5,4,1,1,3,3,3,25,2,5,5,3,3,4,4,4,5,4,40,1,16,1,1,4,43,5,4,4,5,5,4,5,5,4,4,5,5,4,5,5,4,4,4,5,5,4,5,5,1,5,5,5,0,1
"2519",2732,4,4,2,2,2,3,3,4,2,4,3,4,2,2,2,2,1,3,4,1,4,4,3,3,2,2,1,2,3,1,1,4,2,2,16,5,3,4,3,2,5,3,3,3,2,40,1,13,1,1,4,24,3,4,3,4,3,3,4,3,2,4,4,2,2,3,3,2,2,4,3,3,3,3,3,4,2,3,3,0,0
"2412",3460,4,4,2,4,3,4,4,5,2,4,4,4,3,2,3,1,3,3,4,1,4,3,2,3,2,1,2,2,4,1,1,4,2,2,16,1,4,4,3,2,2,3,5,3,4,30,2,19,1,1,3,14,3,3,3,4,3,4,4,4,3,4,2,3,4,4,4,4,3,3,3,3,4,4,4,4,3,4,4,0,0
"232",227243,4,3,1,5,3,5,5,4,1,4,4,2,2,2,3,2,2,4,5,3,5,4,2,5,2,2,3,2,5,1,1,3,3,6,18,1,5,2,2,3,3,2,4,2,3,12,2,15,1,1,4,36,5,4,4,3,3,3,4,4,5,3,3,3,3,4,5,5,4,4,5,4,4,4,4,3,4,4,3,0,1
"968",22451,5,3,3,4,4,5,4,4,5,5,3,4,3,4,4,4,4,4,5,4,4,5,4,4,5,4,3,4,4,0,0,4,5,4,30,3,3,3,3,2,3,3,5,5,4,25,2,1,1,6,3,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,0,0
"1460",421649,3,5,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,3,5,3,4,3,4,4,4,4,0,0,5,4,3,24,2,4,3,5,4,4,2,5,2,3,36,1,10,1,1,4,3,3,4,5,4,5,4,5,5,5,4,5,4,4,5,5,3,4,4,5,5,4,5,5,3,4,4,4,1,1
"1159",232742,4,3,3,4,3,4,3,4,3,3,3,3,4,3,4,3,3,4,4,3,4,4,3,4,3,3,3,3,3,1,1,4,11,3,20,3,4,4,4,2,3,4,3,4,4,50,1,16,1,1,2,54,4,3,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,0,1
